r1,r2,support,weight_log1p
P10254,P17,20823,9.943861
P10254,P131,20820,9.943717
P10254,P625,20818,9.943621
P10254,P1448,14406,9.575469
P10254,P1082,13438,9.505916
P10254,P2046,13396,9.502786
P10254,P402,12469,9.431081
P10254,P7526,11820,9.377633
P10254,P18,7073,8.864181
P10254,P8168,6021,8.703175
P10254,P373,6002,8.700015
P10254,P4080,5879,8.679312
P10254,P8988,5682,8.645235
P10254,P2788,5611,8.632662
P10254,P1249,5565,8.624432
P10254,P8322,5072,8.531688
P10254,P2671,4656,8.446127
P10254,P281,4433,8.397057
P10254,P6885,3720,8.221748
P10254,P691,3464,8.150468
P10254,P8384,2426,7.794411
P10254,P10254,2426,7.794411
P10254,P2044,2313,7.746733
P10254,P1343,2198,7.695758
P10254,P13638,2189,7.691657
P10254,P1566,2185,7.689829
P10254,P6766,1947,7.574558
P10254,P1705,1530,7.333676
P10254,P1538,1484,7.303170
P10254,P11958,1481,7.301148
P10254,P646,1411,7.252762
P10254,P9037,1376,7.227662
P10254,P10198,782,6.663133
P10254,P2326,747,6.617403
P10254,P2503,650,6.478510
P10254,P214,649,6.476972
P10254,P910,593,6.386879
P10254,P227,480,6.175867
P10254,P6228,399,5.991465
P10254,P242,388,5.963579
P10254,P421,302,5.713733
P10254,P7197,270,5.602119
P10254,P1889,265,5.583496
P10254,P5573,254,5.541264
P10254,P8189,206,5.332719
P10254,P47,204,5.323010
P10254,P3003,169,5.135798
P10254,P13591,154,5.043425
P10254,P94,144,4.976734
P1034,P18,660,6.493754
P1034,P373,657,6.489205
P1034,P31,650,6.478510
P1034,P646,638,6.459904
P1034,P910,548,6.308098
P1034,P171,523,6.261492
P1034,P225,523,6.261492
P1034,P105,519,6.253829
P1034,P3151,497,6.210600
P1034,P815,492,6.200509
P1034,P685,491,6.198479
P1034,P13591,489,6.194405
P1034,P846,488,6.192362
P1034,P1417,485,6.186209
P1034,P10585,458,6.129050
P1034,P9157,452,6.115892
P1034,P830,445,6.100319
P1034,P1843,437,6.082219
P1034,P1343,428,6.061457
P1034,P5055,418,6.037871
P1034,P8189,399,5.991465
P1034,P4342,388,5.963579
P1034,P3606,385,5.955837
P1034,P842,382,5.948035
P1034,P935,377,5.934894
P1034,P4024,360,5.888878
P1034,P8408,338,5.826000
P1034,P2892,330,5.802118
P1034,P244,325,5.786897
P1034,P8814,323,5.780744
P1034,P3031,311,5.743003
P1034,P12800,304,5.720312
P1034,P6366,301,5.710427
P1034,P10907,282,5.645447
P1034,P227,271,5.605802
P1034,P627,268,5.594711
P1034,P1813,268,5.594711
P1034,P691,267,5.590987
P1034,P141,267,5.590987
P1034,P279,265,5.583496
P1034,P181,260,5.564520
P1034,P959,260,5.564520
P1034,P6105,257,5.552960
P1034,P3240,252,5.533389
P1034,P2347,245,5.505332
P1034,P8313,239,5.480639
P1034,P8707,235,5.463832
P1034,P12554,234,5.459586
P1034,P12596,231,5.446737
P1034,P2004,224,5.416100
P10374,P31,15,2.772589
P10374,P279,5,1.791759
P10374,P361,13,2.639057
P10374,P527,8,2.197225
P10374,P910,2,1.098612
P10374,P6104,3,1.386294
P10374,P460,5,1.791759
P1037,P31,20465,9.926520
P1037,P21,19378,9.871945
P1037,P106,17745,9.783915
P1037,P735,16083,9.685580
P1037,P569,14433,9.577342
P1037,P27,14258,9.565144
P1037,P734,12158,9.405825
P1037,P19,11539,9.353575
P1037,P214,11233,9.326700
P1037,P1412,10980,9.303922
P1037,P213,8558,9.054739
P1037,P69,8194,9.011279
P1037,P227,7870,8.970940
P1037,P244,7458,8.917177
P1037,P108,7294,8.894944
P1037,P10832,7254,8.889446
P1037,P18,6863,8.834046
P1037,P2671,6604,8.795582
P1037,P269,6496,8.779096
P1037,P39,6335,8.754003
P1037,P373,5838,8.672315
P1037,P13591,5327,8.580731
P1037,P166,5159,8.548692
P1037,P570,4900,8.497195
P1037,P268,4814,8.479491
P1037,P646,4400,8.389587
P1037,P8189,4209,8.345218
P1037,P1006,4172,8.336390
P1037,P1207,4164,8.334472
P1037,P13049,4122,8.324336
P1037,P20,3849,8.255828
P1037,P937,3792,8.240913
P1037,P7902,3584,8.184514
P1037,P463,3431,8.140898
P1037,P1559,3416,8.136518
P1037,P691,3096,8.038189
P1037,P101,2786,7.932721
P1037,P7293,2568,7.851272
P1037,P140,2457,7.807103
P1037,P3368,2037,7.619724
P1037,P2163,2025,7.613819
P1037,P1015,2022,7.612337
P1037,P3065,1907,7.553811
P1037,P1343,1830,7.512618
P1037,P271,1774,7.481556
P1037,P102,1772,7.480428
P1037,P9964,1768,7.478170
P1037,P11496,1766,7.477038
P1037,P11249,1695,7.436028
P1037,P512,1694,7.435438
P1039,P1343,3,1.386294
P1039,P1552,3,1.386294
P1039,P1889,4,1.609438
P1039,P19,7,2.079442
P1039,P20,3,1.386294
P1039,P21,9,2.302585
P1039,P22,6,1.945910
P1039,P106,7,2.079442
P1039,P140,4,1.609438
P1039,P166,2,1.098612
P1039,P1412,6,1.945910
P1039,P1038,8,2.197225
P1039,P31,14,2.708050
P1039,P279,4,1.609438
P1039,P460,2,1.098612
P1039,P461,4,1.609438
P1039,P910,4,1.609438
P1039,P5008,2,1.098612
P1039,P25,4,1.609438
P1039,P27,7,2.079442
P1039,P39,2,1.098612
P1039,P40,3,1.386294
P1039,P69,2,1.098612
P1039,P463,2,1.098612
P1039,P734,4,1.609438
P1039,P735,5,1.791759
P1039,P3373,2,1.098612
P1039,P6379,2,1.098612
P1039,P7763,2,1.098612
P1039,P2738,2,1.098612
P1039,P6886,2,1.098612
